Original File: team_stats.csv
==================================================

# Column Headers:
1. team_name
shots_inside_box: 11
shots_on_target_inside_box: 6
shots_on_target_inside_box_perc: 55
posssessions_end_in_opp_box: 25
perc_total_possessions_end_in_opp_box: 22
shots_outside_box: 8
shots_on_target_outside_box: 3
shots_on_target_outside_box_perc: 38
average_possession_time: 00:16
corners: 9
free_kicks: 3
offsides: 0
total_open_play_possessions: 85
fouls_committed: 6
fouls_drawn: 15
num_short_possessions: 33
yellows: 1
reds: 0
num_medium_possessions: 22
num_long_possessions: 27
num_very_long_possessions: 3
total_attacks: 65
total_attacks_with_shots: 18
total_attacks_to_shot_rate: 28
num_positional_attacks: 45
positional_attacks_with_shots: 11
positional_attacks_to_shot_rate: 24
counters: 1
total_passes_attempted: 462
total_accurate_passes: 383
total_passing_accuracy: 83
total_free_kicks: 3
free_kicks_with_shots: 1
free_kick_shot_perc: 33
forward_passes_attempted: 150
forward_accurate_passes: 109
forward_passing_accuracy: 73
total_corners: 9
corners_with_shots: 2
corner_shot_perc: 22
back_passes_attempted: 71
back_accurate_passes: 67
back_passing_accuracy: 94
lateral_passes_attempted: 202
lateral_accurate_passes: 183
lateral_passing_accuracy: 91
progressive_passes_attempted: 108
progressive_accurate_passes: 87
progressive_passing_accuracy: 81
slide_tackles: 0
long_passes_attempted: 59
long_accurate_passes: 42
long_passing_accuracy: 71
interceptions: 24
fin_third_passes_attempted: 71
fin_third_accurate_passes: 56
fin_third_passing_accuracy: 79
clearances: 4
average_pass_to_final_third_length: 35.6
ppda: 15.5
passes_to_box_attempted: 28
accurate_passes_to_box: 18
passes_to_box_accuracy: 64
shot_assists: 12
total_recoveries: 87
recoveries_own_third: 36
recoveries_mid_third: 36
recoveries_opp_third: 15
recoveries_in_opp_half: 35
total_crosses: 28
accurate_crosses: 11
crossing_accuracy: 39
